summary_nr,fatality_ind,partition
521872,1,train
521914,1,train
521922,1,test
521930,1,test
522045,0,test
522060,1,test
522078,1,test
522086,1,test
522094,1,train
522102,0,test
522128,1,train
522136,1,test
522144,1,test
522185,1,train
524223,1,test
524256,1,test
524322,1,test
524363,1,test
524371,0,test
525527,1,train
525535,1,test
525543,1,train
525592,1,test
525659,0,test
525675,1,test
525691,0,test
525741,1,test
525865,1,test
525907,1,test
525964,1,test
525972,1,train
525998,1,train
526046,1,test
526079,1,test
526087,1,train
526095,1,train
526103,1,train
526111,1,test
526137,1,train
526152,1,train
526178,1,test
526186,1,test
526202,1,test
526236,1,test
526244,1,train
526251,1,train
526335,1,train
526343,1,test
530170,1,test
530196,1,test
542555,1,test
550012,1,test
550020,1,test
550046,1,test
550061,1,test
550095,1,test
550152,1,test
550160,1,test
550186,1,test
550335,1,test
550343,1,test
550350,1,test
550392,0,train
550400,0,test
550418,1,test
550426,1,test
550475,1,test
550533,1,test
550541,1,test
550608,1,test
550616,1,test
552018,1,test
552034,1,test
552042,1,test
552059,1,train
552091,0,test
552117,1,test
552125,1,test
552133,1,test
552158,1,test
552182,1,test
552190,1,test
552208,1,train
552224,1,test
552232,1,train
552240,1,test
552265,1,train
552273,1,train
553529,1,test
553552,1,test
553560,1,test
553578,0,train
553594,1,test
553602,1,test
553610,1,test
553628,1,test
553636,1,test
553644,1,test
556548,0,test
558015,1,test
558023,1,train
558445,1,test
558452,1,test
558486,1,test
558494,1,test
558502,1,test
558627,1,test
558635,1,train
558668,1,test
558734,1,test
558759,1,test
558825,1,train
558833,1,train
559203,1,test
559211,1,test
560326,1,train
560367,1,test
560375,1,test
560391,1,train
560532,1,train
560557,1,train
560573,1,test
561035,1,train
561167,1,test
561332,1,train
561431,1,train
561449,1,test
561464,1,test
561498,1,test
561506,1,train
561514,1,test
561530,1,train
561548,1,train
561555,1,train
561563,0,train
561589,0,test
561597,1,test
561605,1,train
561688,1,test
561696,1,test
561720,1,test
561746,1,test
561753,1,test
561779,0,test
561787,1,test
561803,1,test
561860,1,test
564062,1,test
564088,1,test
564153,1,test
564161,1,test
564179,1,test
564195,1,test
564203,1,test
564229,1,test
564237,1,train
564310,1,train
564336,1,test
564377,1,test
564385,1,train
564393,1,test
564401,1,test
564484,1,train
564492,1,test
564500,1,test
564526,1,test
564534,1,test
564542,1,test
564583,1,test
564658,1,train
564682,1,test
564690,1,test
564732,1,train
564740,1,train
564906,1,test
564914,1,test
564922,1,test
564930,1,train
564971,1,train
564997,1,test
565010,1,test
565044,1,test
565051,1,train
565119,1,test
565127,1,train
565168,1,test
565192,1,test
565218,1,test
565234,1,test
565242,1,test
565259,1,test
565267,1,train
565275,1,test
565507,1,test
565531,1,train
565549,1,train
565556,1,train
565622,1,train
565630,1,test
565648,1,train
565655,1,train
565671,1,train
565705,1,train
565721,1,test
565747,1,test
565754,1,test
565762,1,test
565812,1,test
565820,1,test
565838,1,test
565853,1,test
565861,1,train
565895,1,test
565911,1,train
565937,1,train
565952,1,test
565978,1,train
565986,1,test
565994,1,train
566026,1,train
566034,0,test
566042,1,train
566059,1,test
566075,0,train
566083,0,train
566091,1,test
566158,1,train
566174,0,test
566182,1,train
566216,1,test
566240,1,test
566257,1,test
566265,1,train
566273,1,test
566281,1,test
566349,1,test
566380,1,train
566414,1,test
566422,1,train
566430,1,test
566521,1,train
566570,1,train
566588,1,train
566612,1,test
566620,1,test
566638,1,test
566679,1,test
566695,1,test
566703,1,train
566711,1,train
566737,1,test
566760,1,train
566810,1,test
566844,1,train
566901,1,train
566927,1,train
566935,1,test
566943,0,test
566950,1,test
566968,1,train
566984,1,test
567131,1,test
567172,1,test
567206,1,train
567669,1,test
567677,1,test
567693,1,train
567701,1,test
567743,1,test
567750,1,test
567776,1,test
567800,1,test
567826,1,test
567834,1,test
567867,1,train
567891,1,test
567909,1,train
567990,1,train
568253,1,test
568261,1,train
568279,1,test
568295,1,test
568428,1,test
568493,1,test
568501,1,test
568527,1,test
568535,1,test
568568,1,test
568576,1,test
568584,1,train
568667,1,test
568683,1,test
568691,1,test
568709,1,test
568717,1,test
568725,1,train
568741,1,train
568873,1,test
568881,1,test
568931,1,test
568949,1,train
568972,1,train
568998,1,train
569004,1,test
569012,1,test
569020,1,train
569038,1,test
569046,1,test
569137,1,test
569145,1,train
569178,1,test
569194,1,test
569277,1,train
569376,1,train
569426,1,test
569533,1,train
569558,1,test
569574,1,test
569582,1,train
569590,1,train
569616,1,test
569624,1,test
569632,1,test
569640,1,test
569657,1,train
569673,1,train
569681,1,test
569715,1,test
569731,1,train
569749,1,test
569764,1,test
569830,1,test
569855,1,test
569897,1,test
569954,1,test
569962,1,test
569970,1,test
569988,1,train
570051,1,test
570838,1,train
571828,1,train
571851,1,test
571919,1,test
571927,1,train
571935,1,test
571950,1,train
573527,0,train
573683,1,test
573691,1,train
573717,1,test
573733,1,train
573832,1,train
573840,1,train
575019,1,test
578948,1,train
579003,1,test
579037,0,train
579060,1,test
579086,0,train
579243,1,train
579276,1,test
579334,1,train
579359,0,test
579375,1,test
581157,1,test
581199,1,train
581546,1,test
581587,1,test
582163,1,train
582171,1,test
582213,1,test
582437,1,test
582460,1,test
587048,1,train
587055,1,test
587071,1,train
587105,1,train
587121,1,test
587139,1,test
587162,1,test
587170,0,test
589333,1,test
589473,1,train
589481,1,train
589507,1,test
589523,1,train
589895,1,test
589903,1,train
590000,1,test
593541,1,test
593558,1,train
593590,1,test
593608,0,train
593681,1,train
593699,1,test
593707,0,train
593731,1,test
593756,1,train
593764,1,train
593772,1,test
593822,1,test
593830,1,test
593848,1,test
593855,1,test
594002,1,test
594135,1,test
594168,1,test
594176,1,test
594218,1,test
594267,1,train
594366,1,test
594374,1,test
594440,1,test
594473,1,test
594499,1,train
594564,1,train
594572,1,test
594580,1,test
594598,1,train
594606,1,test
594622,1,train
594663,1,train
594671,1,test
594697,1,test
594713,1,test
594721,1,train
594747,1,test
594762,1,train
594796,1,test
594812,1,train
594820,1,test
594846,1,test
594853,1,test
594861,1,test
594986,1,test
595009,1,train
595033,1,test
595090,1,test
595116,1,test
595223,1,train
595306,1,test
595512,1,test
595520,1,test
595538,1,test
595546,1,train
595611,1,test
595637,1,test
595678,1,test
595769,1,test
595785,1,test
595827,1,test
595835,1,test
595850,0,test
595868,1,test
595884,1,test
595900,1,test
595934,1,train
595975,1,test
596007,1,train
596072,1,test
596080,1,test
596098,1,test
596155,1,test
596171,1,train
596262,1,train
596320,1,test
596585,0,train
596635,1,test
596643,1,train
596668,1,test
596700,0,test
596726,1,test
596734,1,test
596767,1,train
596775,1,test
596783,1,test
596791,1,test
596882,1,test
596890,1,train
596908,1,test
596916,1,test
596981,0,test
597005,1,test
597021,1,test
597039,1,test
597054,1,train
597062,1,train
597070,1,test
597088,1,test
597096,1,train
597104,1,train
597120,1,test
597153,1,test
597161,1,test
597179,1,train
597195,0,train
597203,1,test
597211,1,train
597229,1,train
597245,0,test
597286,1,train
597294,1,test
597302,1,train
597336,1,test
597344,1,test
597351,1,train
597377,1,train
597393,1,test
597427,0,test
597435,1,test
597443,0,test
597468,1,test
597484,1,test
597492,1,test
597500,0,test
597518,0,test
597526,1,test
597567,0,train
597575,0,test
597583,1,train
597591,0,test
597682,0,train
597716,1,train
597732,1,test
597740,1,test
597807,1,train
597856,0,test
597872,1,test
597922,1,test
597955,1,test
597971,0,test
598003,0,train
599589,1,test
599613,1,test
599639,1,train
599654,1,train
599787,1,test
599795,0,train
599811,1,test
601013,1,test
601039,1,test
601096,1,train
601104,1,train
601112,1,test
601120,1,test
601138,1,test
601153,1,test
601161,1,test
601526,1,test
601534,0,train
601542,1,train
601559,0,test
602151,1,train
602359,1,test
602482,1,train
602490,1,test
602508,1,train
602524,1,test
602532,1,test
602540,1,train
602573,1,train
602581,1,train
602607,1,train
602649,1,test
602656,1,train
602664,1,train
602672,1,test
602698,1,train
602706,1,test
602722,1,test
602748,1,test
602755,1,test
602763,1,train
602771,1,test
602789,1,test
602805,1,test
602847,1,test
602854,1,test
602862,1,test
602888,1,train
602904,1,train
602920,1,test
602938,1,train
602946,1,train
602953,1,test
602979,1,test
603027,1,train
603035,1,test
603084,1,test
603092,1,test
603100,1,test
603118,1,test
603126,1,test
603134,1,train
603142,1,test
603175,1,train
603191,1,test
603217,1,test
603225,1,test
603233,1,test
603241,1,train
603258,1,test
603282,1,train
603290,1,train
603308,1,test
603332,1,test
603340,1,train
603373,1,test
603407,1,train
603423,1,train
603431,1,test
603449,1,train
603472,1,test
603498,1,train
603506,1,test
603514,1,test
603522,1,test
603530,1,test
603563,1,test
603571,1,test
603589,1,train
603597,1,test
603621,1,test
603639,1,train
603654,1,test
603662,1,train
603670,1,test
603696,1,train
603704,1,test
603712,1,train
603720,1,test
603738,1,test
603753,1,test
603787,1,test
603795,1,train
603803,1,test
603811,1,test
603837,1,test
603845,1,test
603852,1,train
603860,1,train
604074,1,test
604090,1,train
604132,1,train
604181,1,test
604199,1,test
604264,1,test
604280,1,test
604306,1,test
604314,1,test
604348,1,test
604355,1,test
604389,1,train
604397,1,train
604405,1,test
604413,1,test
604421,1,test
604462,1,train
604470,1,test
604504,1,test
604512,1,test
604520,1,test
604561,1,test
604579,1,test
604595,1,test
604611,1,train
604645,1,test
604686,1,test
604694,1,test
604702,1,test
604710,1,test
604728,1,test
604769,1,train
604777,1,train
604785,1,test
604819,1,train
604827,1,test
604835,1,test
604843,1,train
604884,1,train
604892,1,test
604926,1,test
604934,1,test
604942,1,test
604959,1,test
604967,1,train
604975,1,train
604983,1,test
605006,1,test
605014,1,train
605030,1,test
605048,1,train
605105,1,train
605113,1,train
605121,1,train
605139,1,train
605154,1,test
605238,1,test
605246,1,train
605261,1,test
605410,1,test
605428,1,train
605469,1,test
605501,1,test
606475,1,test
606483,1,test
606509,1,test
606525,1,test
606541,1,test
606558,1,train
607085,0,test
607218,1,train
607564,1,train
607572,0,test
607580,1,test
607598,0,test
607606,1,test
607614,0,test
607622,1,test
607630,1,test
607648,1,train
607655,1,train
607663,1,test
607671,0,test
607689,1,test
607705,1,test
608216,1,test
608224,1,train
608430,0,test
608448,1,test
608455,1,test
608463,1,test
608513,1,test
608521,1,test
608539,0,test
608547,0,test
608554,1,test
608562,0,test
608570,0,test
608950,1,train
608968,1,test
608976,1,test
608984,1,train
609008,1,test
609040,1,test
609057,1,test
609073,1,test
609099,1,test
609107,1,test
609115,1,test
609123,1,train
609131,1,test
609156,1,test
609198,1,train
609206,1,test
609214,1,test
609271,0,test
609313,1,train
609339,1,test
609347,0,test
609354,0,train
609388,1,test
609396,0,test
609404,1,test
630236,1,train
630244,1,test
630269,1,test
630277,1,test
630293,1,test
630301,1,train
630319,1,train
630327,1,test
633511,0,test
633719,1,test
633727,1,train
633735,1,train
633784,1,train
633792,1,test
633800,1,train
634998,1,test
638031,0,train
638049,1,train
638056,0,test
638080,1,train
638098,0,test
638106,1,test
638130,1,test
638148,1,test
638163,1,train
638205,0,test
638213,1,test
638239,1,test
638262,0,train
638304,1,train
638429,1,test
638460,1,test
638692,1,test
638833,1,train
638932,1,test
638999,1,train
639005,1,train
639021,1,train
639039,1,test
639054,1,test
639484,1,test
639500,1,test
640805,0,test
640813,1,test
640821,1,train
640854,1,test
640862,1,train
640896,1,train
640904,1,test
642512,0,test
642538,1,train
642553,0,test
642561,1,train
642652,1,train
642660,1,test
642678,1,test
642686,1,test
642694,1,test
642702,1,test
642710,1,test
642736,1,test
642751,1,train
642785,0,test
642793,0,test
642801,1,test
642827,1,train
642843,0,test
642876,1,train
642884,1,train
642942,1,test
642975,0,train
642991,0,test
644013,1,test
644039,1,test
644054,1,test
644088,1,test
644146,1,test
644153,1,test
644179,1,train
644187,1,test
644211,1,test
644229,1,train
644245,1,test
644278,1,train
644286,1,train
644328,1,test
644344,0,test
644351,1,train
644419,1,train
644443,1,test
644476,1,test
644526,1,train
644534,1,test
644559,1,test
644583,1,test
644617,1,test
644658,0,train
644674,1,test
644740,1,test
644757,1,train
644765,1,test
644773,1,test
644781,1,test
644815,1,test
644880,1,test
644930,0,test
644989,1,test
644997,1,train
645069,0,test
645077,1,test
645085,1,test
645093,0,train
645119,0,test
645168,1,test
645259,1,test
645309,1,test
645333,1,test
645341,1,test
645366,1,test
645408,1,test
645416,1,test
645424,1,test
645432,1,train
645440,1,test
645457,1,train
645465,1,train
645499,0,train
647743,1,train
647776,1,train
647818,1,train
647842,1,test
647859,1,test
647933,1,train
648519,1,test
648543,1,test
648550,1,test
648626,1,test
648634,0,test
648683,0,test
648691,1,train
648709,1,test
648717,1,train
648725,1,train
648733,1,test
648741,1,test
648758,1,test
648766,1,test
648774,1,test
648790,1,test
648832,1,test
648840,1,test
648899,1,test
648907,0,test
648923,1,test
648931,1,test
648949,1,test
648956,1,test
648964,1,test
648972,1,test
648980,1,train
649368,1,test
649376,1,train
649384,1,test
649392,1,test
649400,1,test
649426,1,train
649434,1,test
649459,1,train
649475,1,test
649483,1,train
649509,1,test
649525,1,train
649533,1,test
653659,1,train
653667,1,train
653675,0,test
653691,1,test
653873,1,train
653923,1,test
653931,0,test
653949,0,test
653964,0,test
654061,1,test
654079,0,test
654087,1,test
654111,1,test
655019,1,train
655035,1,test
655043,1,test
655068,0,test
655076,1,train
655084,1,test
655092,0,train
655100,0,test
655159,1,test
655183,1,test
655191,0,test
655282,1,test
655290,0,train
655332,1,test
655340,1,train
655373,1,test
655381,1,test
655399,0,test
655407,1,test
655415,0,test
655423,1,test
655456,1,test
655464,1,test
655472,1,test
655480,1,test
655498,1,train
655506,1,test
655514,1,test
655522,1,train
655563,1,test
655571,1,test
655589,1,test
655605,0,test
655613,0,train
655621,0,test
655654,1,test
655688,0,train
655696,0,test
655712,0,test
655720,0,train
655746,1,train
655753,0,test
655761,1,test
655779,1,test
655787,0,test
655795,1,test
655803,1,test
655811,0,train
655829,0,test
655837,0,test
655845,0,test
655852,0,test
655878,0,test
655886,0,test
655902,0,test
655910,0,test
655951,0,test
655969,0,test
655977,0,test
655985,0,test
655993,0,test
656009,0,test
656017,0,test
656033,0,train
656041,0,test
656074,0,test
656082,1,test
656090,0,test
656108,0,train
656124,0,test
656132,0,test
656140,0,test
656157,0,test
656173,0,train
656181,0,train
656223,1,test
656249,0,test
656264,0,train
656280,0,train
656298,0,test
656306,0,test
656314,0,train
656322,0,train
656330,0,test
656348,0,train
656363,0,test
656371,0,test
656397,0,test
656405,0,test
656413,0,test
656421,0,test
656470,0,train
656488,0,train
656496,0,test
656504,1,train
657692,1,test
657718,1,test
657874,0,train
657882,0,test
657890,1,test
657908,1,test
657916,1,test
658047,1,test
658195,1,test
658203,0,test
658211,1,train
658278,1,test
658294,0,test
658302,0,test
658310,0,test
658328,1,test
658336,0,train
658344,1,test
658369,1,test
658377,0,test
658393,1,test
658450,1,test
659060,1,test
659490,1,test
660324,1,test
660399,0,test
660415,0,train
660456,0,test
664029,0,test
664037,0,test
664318,1,train
665554,1,train
665570,0,train
665604,1,test
665612,1,test
665620,0,train
665695,0,test
665737,1,test
665745,1,test
665802,1,test
665950,1,test
666057,1,train
666073,1,test
666081,0,test
666164,0,test
666248,1,test
668285,1,test
668293,1,test
668319,0,test
668327,1,test
668335,1,test
668343,1,test
668368,1,test
668376,1,test
668384,1,test
668418,0,test
668426,0,test
668434,1,test
668467,0,test
668483,1,train
670125,1,test
670133,1,test
670224,0,test
674127,1,train
674135,1,train
674341,1,train
674358,0,test
674366,1,test
674382,0,test
674416,1,test
674424,1,train
674432,0,train
674440,0,test
674457,1,test
674465,1,test
674473,1,train
674994,1,test
675009,0,train
675249,0,test
675256,1,train
675264,1,test
675314,0,train
675538,0,test
675611,1,train
675629,0,train
675660,1,test
676494,0,test
676502,1,train
676585,1,train
676593,0,train
676619,0,test
676635,1,test
676643,0,test
676676,1,train
676692,0,train
676726,0,test
676734,0,train
676759,0,test
676767,0,test
676783,0,train
676817,1,test
676882,0,train
676908,0,test
676924,0,test
676932,0,test
676940,0,test
676957,0,test
676973,0,train
676999,0,test
677021,0,test
677229,1,test
684514,1,test
684522,0,test
684548,0,train
684555,0,train
684563,0,test
686097,1,train
686105,1,train
686261,1,test
686923,1,test
687533,1,test
687715,1,train
687756,1,test
687772,1,test
687798,1,test
687806,1,test
687814,0,train
687822,1,test
687830,1,train
687848,1,test
687863,1,test
687871,1,test
687889,1,train
687897,1,test
687905,1,train
687939,1,test
687988,1,test
687996,0,test
688002,1,test
688010,1,test
688036,0,test
688044,1,test
688069,1,train
688085,1,test
688119,1,test
688127,1,test
688168,1,train
688200,1,test
688226,1,test
688234,1,test
688267,1,train
688291,1,train
688309,1,test
688317,1,test
688325,1,test
688333,1,test
688358,1,test
688374,1,train
688408,1,test
688416,1,test
688432,1,test
688481,1,train
688499,1,test
688507,1,train
688523,1,train
688556,1,test
688564,1,test
688572,1,test
688614,1,train
688648,1,train
688655,1,test
688689,1,test
688697,1,test
688705,1,test
688713,0,test
688721,1,test
688739,1,test
688754,1,train
688762,1,test
688770,1,test
688804,1,train
688812,1,test
688820,1,test
688861,1,test
688887,1,test
688903,1,train
688960,1,test
688978,1,test
688986,1,train
688994,1,test
689992,1,train
690156,1,test
690164,1,test
690172,1,test
690180,1,test
690198,1,test
690230,1,train
691840,0,test
691865,0,test
693143,1,test
693176,1,test
693259,1,test
693267,1,train
693291,1,test
693309,1,test
693317,1,test
693366,1,test
693374,1,train
693382,1,train
693390,0,train
693408,1,test
693424,0,test
693432,0,test
694513,1,test
694745,1,test
694752,1,test
694760,1,test
694786,1,train
694794,1,test
694802,1,test
694828,1,train
694869,1,train
694877,1,test
694893,1,test
694919,1,test
694935,1,train
695015,1,train
695049,1,train
695072,1,train
695098,1,test
695122,1,test
695130,1,test
695148,1,train
695155,1,test
695163,1,test
695171,1,train
695189,1,test
695197,1,test
695213,0,test
695312,1,test
695320,1,test
695346,1,test
695353,1,test
695379,0,train
695395,0,test
695411,1,test
695429,1,train
695437,1,test
695445,1,train
695460,1,test
695478,1,train
695569,1,test
695627,1,test
695635,1,test
695940,1,test
697235,1,test
699538,0,test
699561,0,test
699587,0,train
699595,1,train
699603,1,train
699611,1,train
699629,1,test
699637,1,train
699694,1,test
699702,1,train
699710,1,train
699736,1,test
699769,0,test
699793,0,train
699801,1,test
699819,1,test
699868,1,test
699884,1,test
699934,1,test
699975,0,test
699983,1,test
700005,1,test
700047,1,test
700062,1,test
700088,1,test
700096,1,test
700112,1,train
700120,1,test
700138,0,test
700153,1,test
700161,1,test
700187,0,test
700195,1,test
700203,1,test
700286,0,test
700302,1,test
700310,0,test
700328,1,test
700344,1,train
700351,0,test
700369,0,train
700385,1,train
700435,1,test
700450,1,test
700476,0,test
700500,1,test
700526,1,test
700591,1,train
700674,0,train
700682,1,test
700690,0,train
700765,1,test
700807,1,test
700989,1,train
706275,0,test
706465,0,test
706473,0,test
706556,1,test
708032,0,train
708826,0,test
708842,0,test
710145,1,test
710178,1,test
710186,0,test
710202,1,train
710228,0,test
710251,1,test
710285,1,test
710301,1,test
710319,0,test
710343,1,test
710384,0,test
710400,0,test
710426,0,test
710434,0,test
710459,1,test
710483,0,test
710491,0,train
710509,0,test
710541,0,test
710616,0,test
710624,0,train
710731,1,test
710749,1,test
710764,0,test
710780,0,test
710798,0,train
710806,0,test
710822,0,train
710830,0,test
710863,0,train
710905,0,test
710939,0,train
710947,0,test
710970,0,test
710988,0,test
711010,0,test
711036,1,train
711044,0,test
711077,1,train
711093,1,train
711150,1,test
711176,1,train
711218,1,test
711234,0,test
711267,0,test
711275,0,test
711283,0,test
711291,0,train
711309,0,test
711317,0,test
711325,0,train
711408,0,train
711424,0,test
711499,0,test
711507,0,test
711762,1,test
711812,1,train
711861,0,train
711937,1,train
711960,1,test
711978,1,test
712034,1,test
712141,0,test
712281,0,test
712299,0,test
712364,0,test
712372,0,train
712380,0,train
712414,0,train
712422,0,test
712430,0,test
712448,0,test
712455,0,train
712463,1,train
712471,1,train
712489,1,train
712497,1,test
712604,1,test
712737,0,test
712745,0,train
712794,1,train
712844,1,test
712851,1,test
712885,1,test
712927,0,test
712976,0,test
712984,0,test
712992,0,test
722082,1,test
722462,1,test
722470,1,train
722488,1,test
722496,1,test
722512,1,test
722561,1,test
722579,1,test
722587,1,train
722603,1,test
722611,1,train
722660,1,test
722751,1,test
722777,1,test
722801,1,test
722918,1,test
722926,1,test
722942,1,test
723221,1,test
723239,1,test
723254,1,test
723304,1,test
723320,1,test
723338,1,test
723353,1,train
723411,1,test
723437,1,test
723528,1,test
723536,1,test
723551,1,train
723569,1,test
723619,1,train
723627,1,test
723676,1,test
723684,1,test
723692,1,train
723726,1,test
723759,1,test
723825,1,test
723833,1,test
723858,1,test
723882,1,test
723890,1,test
723908,1,train
723916,1,test
723932,1,test
723957,1,test
723965,1,test
724005,1,train
724021,1,test
724039,1,train
724047,1,test
724054,1,test
724062,1,train
724070,1,train
724120,1,train
724146,1,test
724161,1,train
724187,1,test
724203,1,train
724252,1,train
724260,1,test
724278,1,test
724286,1,train
724294,1,test
724302,1,train
724336,1,test
724344,1,test
724369,1,test
724377,1,train
724849,1,test
724856,1,test
724872,1,test
724880,1,test
724906,1,test
724914,1,test
724930,1,test
725002,1,test
731174,1,test
731745,1,test
732313,1,test
732321,1,test
732347,1,test
732628,1,test
732750,1,test
733097,1,train
734244,1,test
734269,0,test
735399,1,test
735407,1,test
735415,0,train
735423,0,test
735670,0,test
735787,1,test
735977,1,train
735985,0,test
736199,1,test
736207,1,test
736215,1,train
736868,1,test
736876,1,train
736884,1,test
736926,0,train
736934,1,test
737247,1,test
737262,1,test
737288,0,train
737346,0,test
737361,0,train
738039,0,test
738047,0,test
738054,0,train
738732,1,test
738740,1,train
738757,1,train
738955,1,train
738963,1,test
738989,1,test
739078,0,test
739144,1,train
739151,1,test
739284,1,train
739334,0,train
739342,1,train
739359,0,test
739375,1,test
739433,1,test
739466,1,test
739474,1,test
739508,1,test
739656,0,test
740084,0,train
740431,1,test
740464,1,train
740506,0,test
740514,0,test
740522,0,test
740530,0,train
740548,0,test
740571,1,test
740589,1,train
740605,0,test
740621,0,test
740639,0,test
740647,0,test
740654,0,train
740662,0,test
740670,0,train
740688,0,test
740696,0,test
740712,0,test
740738,0,test
740746,0,train
740753,0,train
740779,0,test
740795,0,test
740803,1,train
740811,0,train
740829,0,train
740837,0,test
740852,1,test
740860,0,test
740878,0,train
740886,0,train
740894,0,train
740902,0,train
740928,0,test
740936,1,train
740951,0,train
740969,0,train
740977,1,test
740985,0,train
740993,0,test
741009,0,test
741017,0,test
741041,0,test
741058,1,test
741074,0,train
741082,0,test
741157,0,test
741165,0,test
741173,0,test
741199,0,test
741207,0,train
741215,0,test
741231,0,test
741264,0,test
741272,0,train
741280,0,test
741314,0,test
741330,1,test
741389,0,test
741405,0,test
741413,0,test
741447,0,train
741454,1,test
741603,1,train
741637,0,test
741959,0,train
741967,0,test
742783,0,train
742825,0,test
742833,0,test
743138,0,test
743146,0,test
743153,0,test
743179,0,test
743195,0,train
743211,0,test
743229,0,test
743310,0,train
743393,0,test
743427,0,test
743435,1,test
743476,0,test
743484,0,test
743583,1,test
743625,0,test
743674,0,test
743765,0,test
743773,1,test
743799,1,test
743807,1,test
743849,1,train
743856,1,train
743880,1,test
743922,1,test
743930,1,train
743963,1,test
744003,0,train
744011,1,train
744037,0,train
744078,1,test
744169,0,test
744342,0,test
744383,0,train
744391,0,test
744441,0,test
744490,1,train
744508,0,train
745067,0,test
745091,0,test
745109,0,test
751198,1,test
751230,0,train
751263,1,test
751297,1,train
751305,0,train
751321,1,train
751339,1,train
754473,1,test
754481,1,train
754499,0,test
754507,0,test
754515,0,train
754523,0,test
754572,0,test
754580,0,test
755033,1,test
755066,1,test
755181,1,train
755199,1,test
755231,1,test
755256,1,test
755264,1,train
755298,1,train
755314,1,test
755330,1,test
755348,1,train
755389,1,test
755421,1,train
755439,1,test
755447,1,test
755454,1,test
755470,1,train
755488,1,test
755520,1,train
755546,1,test
755553,1,train
755561,1,train
755595,1,test
755637,1,test
755645,1,train
755686,1,test
755702,1,test
755736,1,test
755785,0,train
755801,1,train
755876,1,test
755918,1,train
755926,1,test
755934,1,test
755959,1,test
755967,1,train
755975,1,test
755983,1,test
756023,1,train
756254,1,train
756288,1,test
756346,1,test
756379,1,test
756387,1,test
756411,1,test
756429,1,test
756478,1,train
756494,1,test
756502,1,test
